candle_begin_time,open,high,low,close,volume
2017/1/1 0:00,966.61,966.61,966.61,966.61,1.65
2017/1/1 0:01,966.62,966.63,966.62,966.63,1.6625
2017/1/1 0:02,967.05,967.06,967.05,967.06,10.49307769
2017/1/1 0:03,967.37,967.4,967.37,967.39,9.392
2017/1/1 0:04,967.39,967.39,967.39,967.39,0.05
2017/1/1 0:05,967.55,967.79,967.55,967.56,2.35898433
2017/1/1 0:08,967.46,967.46,967.45,967.45,0.28612526
2017/1/1 0:09,967.34,967.34,966.77,966.77,0.05458003
2017/1/1 0:11,965.79,965.79,965.79,965.79,0.08125
2017/1/1 0:12,965.79,965.79,965.79,965.79,0.01246553
2017/1/1 0:13,965.73,965.73,965.03,965.03,0.36011534
2017/1/1 0:14,965.03,965.03,965.03,965.03,0.9066228
2017/1/1 0:15,965.03,965.03,965.02,965.02,1.679
2017/1/1 0:16,965.01,965.36,965,965.36,11.26012782
2017/1/1 0:17,965.3,965.3,965.05,965.05,1.291216
2017/1/1 0:18,965.05,965.83,965.05,965.83,10.510669
2017/1/1 0:19,965.11,965.11,965.11,965.11,0.4
2017/1/1 0:23,965.11,965.11,965.11,965.11,0.24260369
2017/1/1 0:29,966.26,966.48,965.12,966.47,10.01882
2017/1/1 0:30,966.46,966.46,966.46,966.46,0.14725971
2017/1/1 0:31,966.41,967.05,966.41,967.05,10
2017/1/1 0:32,967.04,967.04,967.04,967.04,1
2017/1/1 0:35,966.81,966.81,966.81,966.81,0.01893667
2017/1/1 0:36,965.43,965.43,965.42,965.42,0.4318
2017/1/1 0:38,966.35,966.8,966.35,966.8,3.1744384
2017/1/1 0:41,966.81,967.68,966.01,966.01,5.12386132
2017/1/1 0:50,966.63,966.73,966.03,966.03,2.65400584
2017/1/1 0:54,966.71,966.71,966.71,966.71,0.02984349
2017/1/1 0:57,966.71,967,966.71,967,3.37015651
2017/1/1 0:58,967,967,967,967,5.857
2017/1/1 0:59,967,967,967,967,1.047155
2017/1/1 1:00,967,967,967,967,1.12223415
2017/1/1 1:03,967.04,967.04,967.04,967.04,0.31
2017/1/1 1:04,967,967,967,967,0.01
2017/1/1 1:07,967,967,967,967,1.96
2017/1/1 1:08,967,967,967,967,2.9532
2017/1/1 1:10,967.2,967.2,967.2,967.2,2.992
2017/1/1 1:14,967.2,967.2,967.2,967.2,0.9978
2017/1/1 1:15,967.2,967.2,967.2,967.2,3.895
2017/1/1 1:18,967.25,967.25,967.25,967.25,0.13176101
2017/1/1 1:19,967.21,967.21,967.21,967.21,0.1
2017/1/1 1:22,967.21,967.21,967,967,2.4
2017/1/1 1:27,967,967,967,967,0.5
2017/1/1 1:30,966.6,966.9,966.1,966.11,8.48582945
2017/1/1 1:31,966.11,966.11,966.1,966.1,3.55417055
2017/1/1 1:32,966.01,966.01,966.01,966.01,0.3
2017/1/1 1:33,966.02,966.02,966.02,966.02,0.16
2017/1/1 1:34,966.11,966.11,966,966,10.77567055
2017/1/1 1:35,965.5,966.03,965.5,966,3.26
2017/1/1 1:36,965.89,965.89,965.89,965.89,0.01
2017/1/1 1:38,965.5,965.89,965.5,965.5,8.03038938
2017/1/1 1:41,966.04,966.04,965.59,965.59,0.88192128
2017/1/1 1:42,965.59,965.6,965.59,965.6,0.24
2017/1/1 1:45,965.59,965.59,965.59,965.59,0.18091744
2017/1/1 1:47,965.55,965.55,965.53,965.53,5.26
2017/1/1 1:48,965.54,965.59,965.54,965.59,2.1232
2017/1/1 1:52,965.5,965.5,965.5,965.5,0.02840019
2017/1/1 2:08,965.59,965.59,965.59,965.59,0.04430638
2017/1/1 2:14,965.59,965.59,965.59,965.59,0.97511416
2017/1/1 2:15,966.2,966.21,966.2,966.21,0.30110356
2017/1/1 2:25,966.24,966.31,966.24,966.31,0.05832829
2017/1/1 2:26,966.59,966.59,966.35,966.35,0.18156222
2017/1/1 2:28,966.35,966.35,966.35,966.35,0.74074996
2017/1/1 2:29,966.35,966.35,966,966,0.1775429
2017/1/1 2:30,966,966,966,966,0.0774564
2017/1/1 2:31,965.86,965.86,965.84,965.84,2.45656905
2017/1/1 2:32,965.84,965.84,965.84,965.84,5.8658
2017/1/1 2:33,965.84,965.84,965.84,965.84,1
2017/1/1 2:34,965.84,965.84,965.84,965.84,2
2017/1/1 2:35,965.84,965.84,965.84,965.84,2.515167
2017/1/1 2:37,965.52,965.52,965.5,965.5,32.37708414
2017/1/1 2:38,965.5,965.5,965.5,965.5,1
2017/1/1 2:39,965.5,965.5,965.5,965.5,1.01
2017/1/1 2:41,965.5,965.5,965.5,965.5,0.01022868
2017/1/1 2:42,965.5,965.5,965.5,965.5,0.78686896
2017/1/1 2:43,965.11,965.11,965.1,965.11,9.2401657
2017/1/1 2:48,965.1,965.1,965.1,965.1,2.194
2017/1/1 2:49,965.1,965.1,965.1,965.1,1
2017/1/1 2:50,965.1,965.1,965.1,965.1,1.5
2017/1/1 2:51,965.1,965.1,965,965,4.2681
2017/1/1 2:59,965,965,965,965,0.06
2017/1/1 3:02,965.01,965.01,965.01,965.01,0.01089
2017/1/1 3:09,965,965,965,965,7.2684
2017/1/1 3:18,965,965,965,965,1.61855828
2017/1/1 3:20,965,965,965,965,0.51526682
2017/1/1 3:21,965.01,965.01,963.86,964.48,29.15871954
2017/1/1 3:22,963.87,963.87,963.87,963.87,0.24662444
2017/1/1 3:23,963.87,963.87,963.87,963.87,0.058762
2017/1/1 3:24,963.87,963.87,963.86,963.86,3.61356262
2017/1/1 3:25,963.23,963.4,963.23,963.4,0.37050096
2017/1/1 3:26,963.16,963.16,963.16,963.16,0.4436363
2017/1/1 3:27,963.36,963.36,963.36,963.36,0.59777921
2017/1/1 3:28,963.36,963.36,963.36,963.36,0.74703933
2017/1/1 3:30,963.45,964.02,963.37,964.02,3.10808316
2017/1/1 3:31,963.9,964.01,963.9,964.01,0.13969631
2017/1/1 3:32,964.02,964.02,964.02,964.02,0.8
2017/1/1 3:34,964.01,964.01,964.01,964.01,0.54890548
2017/1/1 3:37,964.02,964.02,964.02,964.02,1
2017/1/1 3:39,964.01,964.01,964.01,964.01,2.45889038
2017/1/1 3:40,964.01,964.01,964.01,964.01,3
2017/1/1 3:44,964.02,964.02,963.9,963.9,0.68637037
2017/1/1 3:45,963.75,963.75,963.75,963.75,0.07372059
2017/1/1 3:47,964.12,964.12,964.12,964.12,0.0343812
2017/1/1 3:54,964.49,964.49,964.49,964.49,0.2
2017/1/1 4:00,963.84,963.84,963.51,963.51,2.24
2017/1/1 4:02,963.5,963.51,963.49,963.49,15.26848554
2017/1/1 4:03,963.3,963.3,962.79,962.98,0.39785774
2017/1/1 4:09,963.38,963.38,963.38,963.38,0.05109242
2017/1/1 4:11,963.27,963.38,963.27,963.36,0.20697435
2017/1/1 4:12,963.37,963.39,963.37,963.39,3.73300026
2017/1/1 4:13,963.82,963.82,963.68,963.68,3.23746963
2017/1/1 4:15,963.28,963.28,963.28,963.28,1.4
2017/1/1 4:16,963.9,963.9,963.9,963.9,0.47698758
2017/1/1 4:17,963.76,963.76,963.76,963.76,0.01036547
2017/1/1 4:18,963.37,963.37,963.37,963.37,1
2017/1/1 4:19,963.27,963.27,962.9,962.9,0.10568007
2017/1/1 4:20,963.28,963.28,962.91,963.28,1.7929118
2017/1/1 4:21,963.9,963.9,963.9,963.9,0.1
2017/1/1 4:23,963.49,963.49,963.49,963.49,0.12
2017/1/1 4:24,963.28,963.28,963.28,963.28,0.046
2017/1/1 4:26,963.08,963.08,963.08,963.08,0.14
2017/1/1 4:31,962.9,962.9,962.9,962.9,14.42986579
2017/1/1 4:33,962.78,962.78,962.78,962.78,0.1
2017/1/1 4:34,962.77,962.77,962.77,962.77,0.5
2017/1/1 4:35,962.77,962.77,962.77,962.77,0.5
2017/1/1 4:36,962.77,962.77,962.77,962.77,1.40460367
